id_ligne,id_commande,id_produit,quantite
296,121,6,3
297,122,19,1
298,122,3,1
299,122,3,3
300,122,18,3
301,123,7,2
302,123,17,3
303,123,11,3
304,124,9,3
305,124,8,3
306,125,6,1
307,125,13,2
308,126,15,1
309,126,2,3
310,127,11,1
311,127,12,2
312,127,12,1
313,128,12,1
314,128,2,3
315,128,15,2
316,129,14,1
317,129,10,3
318,129,6,3
319,129,2,1
320,130,13,1
321,130,5,2
322,131,18,3
323,131,7,2
324,132,7,3
325,132,6,1
326,133,19,1
327,133,8,2
328,134,6,1
329,135,19,3
330,135,5,2
331,135,14,3
332,135,4,3
333,136,12,3
334,137,3,3
335,138,14,2
336,139,18,3
337,139,7,1
338,140,3,3
339,141,14,1
340,141,18,3
341,141,16,2
342,142,11,2
343,142,12,1
344,142,20,3
345,143,15,2
346,143,20,1
347,143,12,1
348,144,12,2
349,144,19,2
350,145,9,2
351,145,16,1
352,146,12,1
353,146,19,2
354,146,5,2
355,147,19,1
356,147,9,1
357,147,12,2
358,148,20,2
359,148,9,1
360,149,18,2
361,149,19,2
362,150,9,2
363,150,2,1
364,150,10,2
365,151,9,1
366,151,15,2
367,151,1,2
368,152,16,1
369,152,19,2
370,152,9,2
371,153,5,1
372,153,9,1
373,153,17,3
374,153,13,3
375,154,13,2
376,155,7,2
377,155,13,1
378,156,19,1
379,156,18,2
380,156,7,3
381,157,16,1
382,157,2,2
383,157,7,1
384,158,15,1
385,158,20,2
386,159,2,3
387,160,9,3
388,161,6,1
389,161,15,2
390,161,1,1
391,162,4,2
392,162,3,3
393,162,13,3
394,163,8,1
395,164,17,1
396,164,16,2
397,164,17,1
398,165,9,1
399,165,4,3
400,165,18,1
401,165,9,3
402,166,4,2
403,166,8,1
404,166,20,1
405,167,19,3
406,167,16,1
407,167,3,3
408,168,15,2
409,168,11,1
410,168,6,2
411,169,3,1
412,170,20,3
413,171,6,2
414,171,18,2
415,171,14,3
416,171,17,3
417,172,12,3
418,172,14,2
419,172,13,2
420,173,11,2
421,174,12,1
422,174,20,2
423,174,6,3
424,174,8,2
425,175,18,2
426,175,8,3
427,175,4,3
428,175,12,3
429,176,17,1
430,176,16,1
431,177,4,3
432,177,16,1
433,177,18,1
434,178,2,1
435,178,5,2
436,178,11,3
437,179,15,1
438,180,4,1
439,180,12,3
440,181,18,2
441,181,2,2
442,181,17,1
443,182,17,1
444,183,16,2
445,183,11,1
446,183,9,3
447,183,19,2
448,184,16,1
449,184,13,2
450,184,11,3
451,184,18,2
452,185,20,3
453,185,14,2
454,186,9,1
455,187,17,1
456,187,20,1
457,187,2,3
458,188,15,3
459,189,2,1
460,189,2,3
461,190,20,3
462,190,16,3
463,190,16,2
464,190,20,1
465,191,19,1
466,191,6,1
467,192,12,3
468,192,3,3
469,193,18,3
470,193,4,2
471,193,20,3
472,193,13,3
473,194,2,3
474,194,4,2
475,194,5,3
476,195,13,3
477,196,7,3
478,196,8,3
479,196,11,1
480,196,1,1
481,197,20,2
482,197,20,1
483,197,20,1
484,197,1,3
485,198,6,3
486,198,7,3
487,199,2,1
488,200,5,1
489,200,15,2
490,200,9,1
491,201,2,3
492,202,5,3
493,203,15,2
494,203,19,3
495,204,14,2
496,204,19,2
497,205,13,2
498,205,8,3
499,205,15,3
500,205,17,1
501,206,17,1
502,206,20,2
503,206,7,1
504,206,8,1
505,207,15,3
506,207,11,2
507,207,15,3
508,208,8,3
509,209,20,1
510,209,10,1
511,209,18,2
512,209,5,1
513,210,17,3
514,210,20,3
515,210,16,3
516,211,10,3
517,211,17,1
518,211,14,2
519,211,3,1
520,212,18,3
521,213,13,2
522,214,13,3
523,214,11,2
524,214,12,2
525,215,9,3
526,215,13,3
527,215,16,3
528,215,12,2
529,216,7,3
530,216,18,3
531,216,16,3
532,217,2,2
533,217,16,3
534,218,16,1
535,218,13,3
536,218,11,3
537,219,11,2
538,219,16,1
539,220,9,1
540,220,7,2
541,221,9,2
542,221,14,1
543,222,10,3
544,222,3,1
545,222,10,2
546,222,10,1
547,223,14,3
548,223,5,2
549,224,11,3
550,224,8,3
551,224,18,1
552,225,7,2
553,225,14,2
554,225,11,1
555,225,2,3
556,226,18,2
557,226,18,2
558,226,2,1
559,226,6,2
560,227,7,2
561,227,6,2
562,227,12,1
563,227,10,1
564,228,15,3
565,228,18,1
566,228,15,1
567,228,20,3
568,229,20,3
569,229,18,1
570,229,1,3
571,230,9,1
572,230,13,3
573,231,12,2
574,231,11,2
575,231,12,3
576,231,6,2
577,232,12,1
578,232,6,2
579,232,14,3
580,233,14,2
581,233,7,2
582,233,17,2
583,233,15,1
584,234,5,1
585,235,13,2
586,235,6,2
587,235,3,2
588,236,2,1
589,237,10,2
590,238,9,1
591,238,1,3
592,238,20,1
593,239,7,1
594,240,10,3
595,241,20,2
596,241,10,2
597,241,1,2
598,242,10,1
599,242,15,3
600,243,2,1
601,243,20,3
602,243,12,1
603,243,11,2
604,244,11,1
605,244,14,3
606,244,6,1
607,244,3,3
608,245,11,3
609,245,2,1
610,246,11,1
611,246,15,1
612,246,16,3
613,246,17,2
614,247,18,2
615,247,13,1
616,248,12,1
617,248,16,1
618,248,15,3
619,249,3,2
620,249,11,2
621,249,6,2
622,250,12,2
623,250,13,3
624,251,16,3
625,251,18,1
626,251,6,2
627,251,10,3
628,252,3,3
629,253,7,1
630,253,12,2
631,253,4,2
632,253,17,3
633,254,13,3
634,254,5,1
635,254,3,3
636,254,13,1
637,255,7,2
638,255,5,1
639,255,6,1
640,255,12,1
641,256,12,2
642,257,14,3
643,257,17,1
644,257,14,2
645,258,16,1
646,258,8,3
647,258,18,1
648,259,6,1
649,259,2,2
650,260,11,2
651,260,16,2
652,260,19,2
653,261,10,2
654,262,17,1
655,262,11,2
656,263,13,3
657,264,2,1
658,264,9,3
659,264,7,1
660,265,1,1
661,265,4,3
662,265,10,1
663,265,7,3
664,266,5,1
665,266,2,3
666,266,3,1
667,267,13,2
668,267,16,1
669,268,8,1
670,268,15,2
671,269,20,1
672,269,20,3
673,270,14,3
674,271,7,3
675,271,4,1
676,272,19,2
677,272,3,2
678,272,6,3
679,273,7,2
680,273,14,3
681,273,8,2
682,274,9,2
683,275,20,3
684,275,10,2
685,275,3,2
686,276,14,3
687,276,10,3
688,276,20,2
689,277,8,3
690,278,19,3
691,278,2,3
692,278,8,3
693,279,10,1
694,279,3,2
695,279,12,2
696,280,11,1
697,281,10,2
698,282,20,3
699,282,8,3
700,282,2,3
701,283,16,3
702,283,15,3
703,284,4,2
704,285,3,3
705,285,2,3
706,285,4,2
707,286,11,3
708,286,15,3
709,286,10,3
710,286,11,3
711,287,3,2
712,287,18,1
713,287,17,1
714,288,16,1
715,288,15,1
716,288,12,3
717,288,5,1
718,289,8,1
719,289,10,1
720,290,6,1
721,291,20,2
722,291,18,2
723,291,19,1
724,291,6,3
725,292,17,2
726,293,10,3
727,293,1,3
728,294,17,3
729,294,16,2
730,294,10,2
731,294,17,2
732,295,2,1
733,295,6,2
734,295,11,3
735,296,4,2
736,296,2,3
737,297,5,1
738,297,1,2
739,297,1,3
740,297,3,2
741,298,5,3
742,298,3,3
743,298,15,2
744,299,9,1
745,299,4,3
746,299,9,3
747,299,7,3
748,300,7,2
749,300,16,1
750,300,1,1
751,300,12,1
752,301,19,1
753,301,2,2
754,302,1,1
755,303,17,1
756,304,15,2
757,304,14,2
758,304,18,1
759,305,18,1
760,306,4,1
761,307,12,2
762,308,19,1
763,309,17,2
764,309,10,1
765,309,5,3
766,310,1,3
767,310,14,1
768,311,3,1
769,312,3,2
770,312,4,3
771,312,15,2
772,313,2,1
773,313,11,1
774,314,8,1
775,314,11,2
776,314,15,1
777,315,17,1
778,315,17,3
779,315,9,3
780,316,5,3
781,316,1,1
782,316,1,2
783,316,19,2
784,317,2,2
785,317,8,2
786,317,6,1
787,318,12,2
788,318,2,3
789,318,10,2
790,318,14,1
791,319,18,2
792,319,1,1
793,319,2,2
794,320,3,3
795,320,4,2
796,321,2,1
797,321,7,2
798,321,5,3
799,321,1,3
800,322,1,1
801,322,3,1
802,322,7,2
803,323,15,1
804,323,6,1
805,324,17,1
806,324,6,3
807,325,4,3
808,325,4,1
809,325,9,3
810,326,16,1
811,327,2,2
812,327,13,1
813,327,13,3
814,327,14,2
815,328,15,1
816,328,15,3
817,328,17,3
818,328,16,3
819,329,15,1
820,329,8,3
821,330,17,2
822,330,5,1
823,331,10,2
824,331,1,1
825,331,1,1
826,332,4,3
827,332,1,2
828,332,19,2
829,332,4,2
830,333,18,3
831,333,14,2
832,334,15,2
833,334,20,2
834,334,1,3
835,335,20,2
836,335,9,2
837,335,8,3
838,336,16,2
839,336,5,3
840,337,15,2
841,337,8,3
842,337,8,3
843,338,1,1
844,338,20,2
845,339,17,2
846,339,14,3
847,340,2,3
848,341,15,1
849,342,15,2
850,342,16,2
851,343,17,1
852,344,18,1
853,345,10,3
854,345,1,1
855,345,9,2
856,346,13,1
857,346,20,2
858,346,20,3
859,346,2,2
860,347,10,1
861,347,12,2
862,348,6,1
863,349,14,2
864,349,8,1
865,349,6,3
866,349,1,1
867,350,11,1
868,350,10,3
869,350,7,2
870,350,13,2
871,351,5,1
872,351,4,2
873,351,11,2
874,351,14,2
875,352,11,2
876,353,9,3
877,353,5,1
878,354,1,1
879,354,12,2
880,354,14,1
881,355,10,1
882,355,7,1
883,355,10,2
884,355,9,2
885,356,20,2
886,356,20,3
887,356,17,1
888,356,9,2
889,357,2,2
890,358,17,3
891,358,2,3
892,359,12,3
893,359,13,1
894,360,9,1
895,361,16,1
896,362,11,1
897,363,19,2
898,363,20,2
899,364,5,2
900,364,4,3
901,364,4,1
902,365,9,1
903,365,8,1
904,366,12,3
905,366,20,2
906,366,17,1
907,366,19,2
908,367,5,1
909,367,18,2
910,367,3,2
911,368,10,3
912,369,10,2
913,369,17,1
914,369,2,1
915,370,10,1
916,370,4,1
917,370,17,2
918,370,2,1
919,371,12,3
920,371,1,1
921,371,1,2
922,372,14,1
923,372,14,2
924,372,4,3
925,373,2,2
926,373,16,3
927,374,16,2
928,374,10,1
929,375,17,1
930,375,12,3
931,375,11,1
932,375,20,1
933,376,8,3
934,376,11,3
935,377,19,3
936,377,19,3
937,377,20,2
938,377,3,1
939,378,7,3
940,378,19,2
941,378,16,1
942,378,9,3
943,379,5,3
944,379,10,3
945,379,11,2
946,379,4,2
947,380,17,1
948,380,2,3
949,380,9,3
950,381,7,1
951,382,18,1
952,382,7,3
953,382,1,3
954,383,4,1
955,383,14,1
956,383,11,1
957,383,11,2
958,384,18,2
959,384,13,2
960,384,20,1
961,385,8,3
962,386,6,1
963,386,13,2
964,386,8,1
965,386,17,3
966,387,12,1
967,387,9,1
968,387,5,2
969,388,2,3
970,388,6,2
971,389,10,3
972,389,15,3
973,390,6,2
974,390,12,2
975,391,4,2
976,391,15,2
977,392,20,3
978,392,2,3
979,392,7,2
980,392,9,1
981,393,13,3
982,393,20,2
983,393,15,2
984,393,10,3
985,394,19,3
986,394,13,3
987,394,3,3
988,395,9,3
989,395,6,3
990,396,7,1
991,396,9,3
992,397,11,3
993,398,12,2
994,398,3,2
995,399,11,2
996,399,3,3
997,399,18,3
998,399,8,2
999,400,5,1
1000,400,8,2
1001,401,15,2
1002,402,6,1
1003,402,7,3
1004,402,7,3
1005,402,17,1
1006,403,5,2
1007,403,6,3
1008,403,18,1
1009,404,17,2
1010,404,11,3
1011,405,18,2
1012,406,9,3
1013,406,13,1
1014,406,4,3
1015,407,6,1
1016,407,3,3
1017,407,20,2
1018,408,9,1
1019,409,13,3
1020,409,7,1
1021,409,3,2
1022,410,2,3
1023,410,10,3
1024,410,10,1
1025,411,12,2
1026,412,18,1
1027,412,7,1
1028,412,3,1
1029,412,2,2
1030,413,4,1
1031,414,13,3
1032,414,3,1
1033,414,10,2
1034,415,5,2
1035,416,8,3
1036,417,9,2
1037,417,19,2
1038,417,11,3
1039,418,2,2
1040,419,5,1
1041,419,18,2
1042,420,3,2
1043,420,13,2
1044,420,14,3
1045,421,16,1
1046,421,2,3
1047,422,6,1
1048,423,8,1
1049,424,19,1
1050,424,19,2
1051,425,9,1
1052,425,3,2
1053,425,19,2
1054,426,13,2
1055,426,3,2
1056,426,18,1
1057,427,18,1
1058,427,12,3
1059,427,10,3
1060,427,19,2
1061,428,17,3
1062,428,18,1
1063,428,1,1
1064,428,5,3
1065,429,10,1
1066,429,14,2
1067,429,16,1
1068,430,2,1
1069,430,19,2
1070,431,6,1
1071,431,14,3
1072,432,15,2
1073,432,2,3
1074,432,17,2
1075,433,15,3
1076,434,4,3
1077,435,15,3
1078,435,6,1
1079,436,9,3
1080,436,8,1
1081,436,18,3
1082,437,20,3
1083,437,18,3
1084,437,9,1
1085,438,16,3
1086,438,14,2
1087,438,12,1
1088,439,1,3
1089,440,6,2
1090,440,10,1
1091,440,9,2
1092,440,14,3
1093,441,10,3
1094,442,16,3
1095,442,1,3
1096,442,15,3
1097,442,19,1
1098,443,14,2
1099,444,6,3
1100,445,6,2
1101,445,14,1
1102,446,12,1
1103,446,7,3
1104,446,2,1
1105,446,14,2
1106,447,10,1
1107,447,8,1
1108,448,14,3
1109,448,2,1
1110,448,6,2
1111,449,18,3
1112,449,16,1
1113,449,1,3
1114,450,6,1
1115,450,14,2
1116,450,18,2
1117,450,16,3
1118,451,3,3
1119,452,5,3
1120,453,3,1
1121,454,13,3
1122,454,19,2
1123,455,5,2
1124,455,7,1
1125,455,20,1
1126,455,9,2
1127,456,19,1
1128,457,7,1
1129,458,4,1
1130,458,6,1
1131,458,1,2
1132,458,5,1
1133,459,6,2
1134,459,20,1
1135,460,16,1
1136,460,11,2
1137,460,11,1
1138,461,3,3
1139,461,12,1
1140,462,19,3
1141,462,6,3
1142,462,4,1
1143,463,19,3
1144,464,14,1
1145,464,2,3
1146,464,20,1
1147,465,12,1
1148,466,19,1
1149,466,6,3
1150,466,8,1
1151,467,17,3
1152,468,17,1
1153,469,8,2
1154,470,14,1
1155,470,12,3
1156,470,14,1
1157,470,3,2
1158,471,8,1
1159,471,3,2
1160,472,12,2
1161,472,19,3
1162,472,15,2
1163,472,16,2
1164,473,13,3
1165,473,18,1
1166,473,14,1
1167,474,18,2
1168,474,6,2
1169,474,8,2
1170,475,13,1
1171,476,19,3
1172,476,9,3
1173,477,20,2
1174,478,19,2
1175,478,13,3
1176,478,5,1
1177,478,7,2
1178,479,6,2
1179,479,1,1
1180,479,20,3
1181,480,7,2
1182,480,14,1
1183,480,15,3
1184,480,9,2
1185,481,17,3
1186,481,20,3
1187,482,16,1
1188,482,18,1
1189,483,2,1
1190,483,8,2
1191,484,17,1
1192,485,6,2
1193,485,4,3
1194,485,15,1
1195,485,3,2
1196,486,3,1
1197,486,11,1
1198,486,7,1
1199,486,10,3
1200,487,6,2
1201,487,11,1
1202,488,4,3
1203,489,3,1
1204,489,9,1
1205,489,18,3
1206,490,1,1
1207,491,17,2
1208,491,6,1
1209,491,1,1
1210,492,13,1
1211,492,5,3
1212,493,13,2
1213,493,12,2
1214,493,5,2
1215,493,14,2
1216,494,13,1
1217,494,13,3
1218,494,13,2
1219,495,16,2
1220,496,10,1
1221,496,19,3
1222,497,16,1
1223,497,8,2
1224,498,15,3
1225,499,5,3
1226,499,7,3
1227,499,13,1
1228,500,1,1
1229,501,1,3
1230,501,19,1
1231,502,15,2
1232,502,12,3
1233,503,14,2
1234,503,11,1
1235,503,11,3
1236,504,3,2
1237,504,16,3
1238,505,16,1
1239,505,9,2
1240,505,7,3
1241,506,7,1
1242,506,17,3
1243,506,19,1
1244,506,15,3
1245,507,17,3
1246,507,10,1
1247,507,4,3
1248,507,17,1
1249,508,5,1
1250,508,13,2
1251,509,9,2
1252,509,14,1
1253,510,7,2
1254,511,18,2
1255,511,1,1
1256,511,10,2
1257,511,14,1
1258,512,10,2
1259,512,1,3
1260,512,11,1
1261,512,7,2
1262,513,19,3
1263,514,8,2
1264,514,10,2
1265,514,12,2
1266,514,16,1
1267,515,18,3
1268,516,8,2
1269,516,1,1
1270,516,15,2
1271,516,10,1
1272,517,15,2
1273,517,12,3
1274,518,6,2
1275,519,20,1
1276,519,3,2
1277,520,18,2
1278,520,9,1
1279,521,11,2
1280,521,13,2
1281,522,4,1
1282,523,18,3
1283,523,7,1
1284,523,13,1
1285,524,8,3
1286,524,13,3
1287,524,9,3
1288,525,13,2
1289,525,9,3
1290,525,8,1
1291,526,8,2
1292,526,2,1
1293,527,9,1
1294,527,8,1
1295,528,6,1
1296,529,16,1
1297,530,14,3
1298,530,11,2
1299,530,16,3
1300,531,16,2
1301,532,13,3
1302,533,1,3
1303,534,5,3
1304,534,8,1
1305,534,6,2
1306,535,8,1
1307,536,16,1
1308,537,2,2
1309,537,2,2
1310,537,13,1
1311,537,11,3
1312,538,3,3
1313,538,4,1
1314,539,6,1
1315,539,16,2
1316,540,10,2
1317,540,17,1
1318,540,8,3
1319,540,6,3
1320,541,9,3
1321,541,5,3
1322,542,6,2
1323,543,19,3
1324,543,14,2
1325,543,7,3
1326,544,1,3
1327,544,8,2
1328,544,10,3
1329,545,8,1
1330,545,7,1
1331,546,18,2
1332,546,19,3
1333,546,2,2
1334,547,8,3
1335,547,8,1
1336,547,11,1
1337,548,11,3
1338,548,6,2
1339,549,8,2
1340,550,6,1
1341,550,12,2
1342,550,2,2
1343,551,10,2
1344,552,15,3
1345,552,5,3
1346,552,7,2
1347,553,7,1
1348,553,15,2
1349,553,12,1
1350,553,13,1
1351,554,11,3
1352,554,20,1
1353,554,3,2
1354,555,4,2
1355,555,9,1
1356,555,14,1
1357,555,10,3
1358,556,1,3
1359,556,6,3
1360,557,11,1
1361,557,20,3
1362,557,9,3
1363,557,16,3
1364,558,13,1
1365,559,7,1
1366,560,15,2
1367,561,4,3
1368,561,13,2
1369,562,3,1
1370,563,20,2
1371,564,20,3
1372,564,7,2
1373,564,10,1
1374,565,12,2
1375,565,12,3
1376,565,1,2
1377,565,18,3
1378,566,2,3
1379,566,16,2
1380,566,12,2
1381,567,6,3
1382,568,6,2
1383,568,19,1
1384,568,6,1
1385,568,5,2
1386,569,20,3
1387,569,18,3
1388,570,11,3
1389,570,2,3
1390,570,3,2
1391,571,13,3
1392,571,2,2
1393,572,2,2
1394,573,5,2
1395,573,20,2
1396,573,20,3
1397,574,12,3
1398,574,10,2
1399,575,3,1
1400,575,7,3
1401,576,4,1
1402,577,5,1
1403,577,3,1
1404,577,5,3
1405,578,8,1
1406,578,2,1
1407,578,10,2
1408,578,7,2
1409,579,11,3
1410,579,1,2
1411,580,14,2
1412,580,11,3
1413,580,8,2
1414,581,9,1
1415,581,8,1
1416,582,9,2
1417,583,1,3
1418,583,7,3
1419,583,14,3
1420,583,3,3
1421,584,18,2
1422,585,8,1
1423,585,17,3
1424,586,15,3
1425,586,18,2
1426,586,15,1
1427,586,16,2
1428,587,13,1
1429,587,13,2
1430,588,20,1
1431,588,16,1
1432,589,4,1
1433,590,17,3
1434,591,1,3
1435,591,13,2
1436,591,19,2
1437,592,16,2
1438,592,15,3
1439,593,7,1
1440,593,10,2
1441,593,17,1
1442,593,15,3
1443,594,17,3
1444,594,14,2
1445,594,9,3
1446,594,5,2
1447,595,14,2
1448,595,15,1
1449,595,15,3
1450,596,19,2
1451,596,1,2
1452,596,2,1
1453,596,15,2
1454,597,16,1
1455,597,16,2
1456,597,9,2
1457,598,12,2
1458,598,5,1
1459,598,7,1
1460,599,19,1
1461,599,7,1
1462,599,20,3
1463,600,9,3
1464,601,12,1
1465,601,14,3
1466,601,13,1
1467,601,15,1
1468,602,18,2
1469,602,13,1
1470,602,18,1
1471,602,6,3
1472,603,10,2
1473,603,11,1
1474,603,12,3
1475,603,8,3
1476,604,18,3
1477,604,19,3
1478,604,20,3
1479,604,17,3
1480,605,12,3
1481,605,20,2
1482,605,3,3
1483,605,13,2
1484,606,1,2
1485,606,6,1
1486,606,20,2
1487,607,8,1
1488,608,6,2
1489,608,7,1
1490,608,16,2
1491,608,9,2
1492,609,2,3
1493,609,12,1
1494,609,11,3
1495,610,11,2
1496,611,12,3
1497,611,16,3
1498,611,8,3
1499,611,5,3
1500,612,6,2
1501,612,17,1
1502,612,15,3
1503,612,18,1
1504,613,16,1
1505,613,15,2
1506,613,20,1
1507,613,20,2
1508,614,8,3
1509,614,20,1
1510,615,13,1
1511,615,12,3
1512,615,2,1
1513,615,1,2
1514,616,19,1
1515,617,6,3
1516,618,6,2
1517,618,16,3
1518,618,4,3
1519,618,18,3
1520,619,8,3
1521,619,18,2
1522,619,15,2
1523,620,2,3
1524,620,11,2
1525,620,4,2
1526,621,18,3
1527,622,17,3
1528,622,3,1
1529,623,1,2
1530,623,11,2
1531,624,19,3
1532,625,1,2
1533,625,15,3
1534,625,5,3
1535,626,11,2
1536,626,11,1
1537,626,11,1
1538,626,1,2
1539,627,20,2
1540,627,20,3
1541,627,7,3
1542,628,12,1
1543,628,5,2
1544,629,12,1
1545,629,6,2
1546,630,20,3
1547,630,17,1
1548,630,13,1
1549,631,5,2
1550,631,3,2
1551,632,11,2
1552,633,3,3
1553,634,6,3
1554,634,5,3
1555,634,3,2
1556,635,4,2
1557,636,10,1
1558,637,20,3
1559,638,4,2
1560,638,7,1
1561,638,9,2
1562,638,10,1
1563,639,20,1
1564,639,5,2
1565,639,8,3
1566,639,9,1
1567,640,2,2
1568,641,18,3
1569,641,3,3
1570,642,7,2
1571,642,9,1
1572,642,18,1
1573,643,6,1
1574,644,8,2
1575,645,17,3
1576,646,11,3
1577,646,8,2
1578,646,1,3
1579,647,14,3
1580,648,13,1
1581,649,11,1
1582,649,16,2
1583,650,17,1
1584,650,10,3
1585,651,3,1
1586,651,20,3
1587,652,6,3
1588,652,8,3
1589,652,18,1
1590,652,19,2
1591,653,16,1
1592,653,15,1
1593,653,6,1
1594,654,20,1
1595,655,10,3
1596,655,12,2
1597,656,10,3
1598,656,19,3
1599,656,1,1
1600,656,13,2
1601,657,7,1
1602,657,5,3
1603,658,17,2
1604,659,6,3
1605,659,12,3
1606,659,2,3
1607,659,6,2
1608,660,20,2
1609,661,12,1
1610,661,7,2
1611,661,3,3
1612,661,20,2
1613,662,15,3
1614,662,2,2
1615,662,16,3
1616,663,18,2
1617,663,8,2
1618,663,14,3
1619,664,6,2
1620,665,8,2
1621,665,1,1
1622,665,20,2
1623,665,18,1
1624,666,20,3
1625,666,18,1
1626,667,10,3
1627,667,18,2
1628,667,7,3
1629,667,10,2
1630,668,19,1
1631,668,20,2
1632,668,1,1
1633,669,14,2
1634,669,3,2
1635,670,6,3
1636,671,4,2
1637,671,9,2
1638,671,15,1
1639,671,16,2
1640,672,16,3
1641,673,15,1
1642,673,7,2
1643,673,16,2
1644,674,7,2
1645,674,5,2
1646,674,2,3
1647,675,20,3
1648,676,19,3
1649,676,3,3
1650,676,8,3
1651,677,20,2
1652,677,4,1
1653,677,4,3
1654,677,12,2
1655,678,4,2
1656,678,9,3
1657,679,19,1
1658,680,7,3
1659,680,14,1
1660,681,11,2
1661,681,1,1
1662,682,6,2
